label;name;class
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;afredoazza;neg
RT @bintangku206: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…;Kurnia55623750;neg
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;mindar69;pos
"Mahasiswa Papua jangan termakan Isu Eksodus yaaa :)
.
#Dagelan
#MutualanAjaDuluSiapaTauJodoh
#IndonesiaDamai… https://t.co/NLsjSgC1MU";dagelanpolitik1;pos
RT @bintangku206: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…;Orchid30327847;pos
RT @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…;FhadillahLaxa;pos
"RT @TRANS7: ""Coba tanya ke orang-orang Papua apakah perlu itu pembangunan Trans Papua. Pembangunan harus memikirkan manusia. Isu separatism…";HunduickelmonY2;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;magnussmall1;pos
@Wiro212muda @edelweis2901 @WahabisLokal @ummychasan @jokowi Papua bkn konflik agama tong? Mau digoreng ke isu agam… https://t.co/JDJk1e3uXo;AlfaOmega0110;neg
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;cristop14107212;pos
"Vanuatu Politisasi Isu Papua; Ini Tanggapan Indonesia! – Duration: 2:37.  https://t.co/R0xwl7l0Ki";OccuWorld;pos
"RT @mmuzaqi_: Persekutuan Gereja-gereja di Tanah Papua : Masyarakat Papua Jangan Termakan Isu yg Membuat Konflik.

-utas-

@elHurryKoRn @wa…";JihadMilenial;pos
"RT @bernardagapa: Desain poster ini dari font; warna; hingga narasi sama persis dengan poster yang serang beberapa LBH; KPK dan isu Papua.…";fadlanous;neg
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;dossprho;pos
RT @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…;Khoirulsetiaku;neg
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;indraephe;pos
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;djopie_76;pos
Selalu waspada terhadap isu SARA dan hoax. Jangan sampai kita di adu domba oleh oknum-oknum yang menginginkan papua… https://t.co/0cq4t87PTG;AjiFatahKurnia1;pos
RT @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…;fendisyarif;neg
"RT @bernardagapa: Desain poster ini dari font; warna; hingga narasi sama persis dengan poster yang serang beberapa LBH; KPK dan isu Papua.…";eydhoh;neg
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;UdinLisan;pos
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;Rio_Kemilau;pos
"RT @notbuzzer: 1. Isu Diskriminatif; Rasisme dan HAM di Papua Tak Sesuai Fakta #HoaksIsuDiskrimantifdiPapua";notbuzzer;neg
RT @LamanKita_: PBB Tak Pernah Merespon Isu Diskriminatif yang Hanya Ingin Memecah Belah Papua #HoaksIsuDiskrimantifdiPapua https://t.co/0C…;notbuzzer;neg
PBB Tak Pernah Merespon Isu Diskriminatif yang Hanya Ingin Memecah Belah Papua #HoaksIsuDiskrimantifdiPapua https://t.co/0CnABgtycc;LamanKita_;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;ronaldwolford11;pos
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;hungrybase_;pos
Isu Diskriminatif di Papua Tak Berdasar #HoaksIsuDiskrimantifdiPapua https://t.co/EGZzgJZdM8;notbuzzer;pos
"Isu Diskriminatif; Rasisme dan HAM dari Separatis di Papua Tak Pernah Mendapat Respon dari PBB… https://t.co/8bAKUOWZld";notbuzzer;neg
3. Guru Besar Hukum Internasional dari Universitas Indonesia Hikmahanto Juwana menilai isu yang disuarakan OPM saat… https://t.co/K0apWxFH81;notbuzzer;neg
"2. Beberapa isu yang dimainkan oleh kelompok separatis yang didukung pihak asing seperti isu diskriminatif; rasisme… https://t.co/qqHpfSn2DZ";notbuzzer;neg
"1. Isu Diskriminatif; Rasisme dan HAM di Papua Tak Sesuai Fakta #HoaksIsuDiskrimantifdiPapua";notbuzzer;pos
"Tuduhan diskriminatif sehingga perlu ada pemerintahan alternatif di Papua; sama sekali tidak mendasar… https://t.co/XOzsBzdukH";Bincang_Politik;pos
"Isu diskriminatif; rasisme; dan pelanggaran Hak Asasi Manusia (HAM) yang disuarakan Organisasi Papua Merdeka (OPM)… https://t.co/4bMxoRYL5g";NamaSayaBram;neg
"Hoax; Isu Diskriminasi dan Pelanggaran HAM di Papua Sungguh Tak Berdasar #HoaksIsuDiskriminatifdiPapua… https://t.co/KqjaMbVoV2";kumaha_aing01;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;BAndersoncx;pos
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;husnieamir;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;snjayajonggrang;pos
RT @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…;dodicktan;pos
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;sapajr_;neg
"Pihaknya juga mengimbau kepada masyarakat di tanah Papua ; untuk tidak terpengaruh dengan isu yang belum tentu bena… https://t.co/tbuDUM1hWJ";Zalfa_Qotr;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;catheri98904892;pos
@BoehariM @adyttt_punk @AmbarwatiRexy @Airin_NZ @P3nj3l4j4h @dodo_ferguson @jokowi @Kiyai_MarufAmin @Bers4tu… https://t.co/2FKvPwu3sF;Farida_R4;pos
"Isu diskriminasi terhadap Papua adalah Hoaks! 

#HoaksIsuDiskriminatifDipapua https://t.co/bGaiSwvcFD";raza_aja;pos
"RT @YRadianto: Ada uang di balik semua kerusuhan.

Kawan; mari kita jaga Indonesia kita. Jangan biarkan orang baik dikalahkan mereka yang p…";dsurya_maulana;neg
"RT @john_lsmw: @Putri_1979 Jika baca langsung rilis dari news room yang menjadi narasumber dr berita ini; maka yg disebutkan di sana adl ba…";RamadhanNasta;pos
"""Masyarakat Papua jangan termakan Isu yang Membuat Konflik""
Himbauan dari Pdt. Marthan Ayorbaba Wakil Sekretaris Pe… https://t.co/5pK99ayMX5";DekZulfi;neg
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;TruongA83282261;pos
"Awas provokasi OPM soal isu diskriminasi terhadap Papua 

#HoaksIsuDiskriminatifDipapua https://t.co/mfU5WK1wLd";abdul_juga;neg
"RT @Jokoembong: 1. Hal ini disampaikan Ketua Wilayah @WartaNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";DarmawanNuryudi;pos
"Hoaks! Isu diskriminasi terhadap Papua 

#HoaksIsuDiskriminatifDipapua https://t.co/Z8jwjsWhts";RenjaniAyu;pos
RT @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;arifinhasan_;neg
"OPM mau mengadu-domba dgn Isu diskriminasi trhdp Papua! 

#HoaksIsuDiskriminatifDipapua https://t.co/S8gEMZxDc2";Sitichaa9;neg
"RT @Jokoembong: 1. Hal ini disampaikan Ketua Wilayah @WartaNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";Bejo__wiyono;pos
RT @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;RoninX34;pos
@xbgsprksx @sandalista1789 @Dandhy_Laksono Algoritma fb membaca interaksi akun2 fake yg  mendompleng trending isu p… https://t.co/bfbzrTvd6B;Januri97050930;neg
"Sedikit demi sedikit isu Papua semakin mendunia; syukur bagimu Tuhan... https://t.co/NfclqJ8A4R";beanal_jong;pos
Komnas HAM Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi https://t.co/9FNRuh0ORU;AbdMuhyi;neg
"cek yuk -&gt; Komnas HAM Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi Komnas HAM m  https://t.co/mhB9k8rlcX";akuNgiklan;neg
?@KomnasHAM? Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi https://t.co/bL6P4fuh1L;ibnupurna;neg
@null Komnas HAM Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi Komnas HAM m  https://t.co/gAR8Ek09NZ;galxxs;neg
RT @KontraS: Kami coba merangkum sekelumit respon pejabat publik atas peristiwa yang terjadi belakangan ini, mulai dari isu KPK, Papua, sam…;Gusliansyahjef;pos
@albertsamuel28 @jokowi Ada referensi bahwa mereka minta barang ini sebelum kasus rasisme? Karena isu Papua youth c… https://t.co/jJWu9pBETT;erickyoku;neg
"RT @MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";ilan_nulhakim;neg
RT @Lawan30188010: Isu Rasisme  di Galangan Masyarakat  sipil Kaum Penindas Masih terus  Melakukan perlawanan  terhdp t4 tggl Mhsw Papua di…;Junior97762295;pos
"Pdhl di pidato pertama ini lebih nunggu tanggapan pak jokowi mengenai isu"" yg saat ini viral kyk Papua, UU KPK,  RK… https://t.co/0Jtc2XT95i";Gab_412;pos
@Rio74262208 @mbachelet @UNHumanRights @fwpcNL @hrw @UN @WellipPrai @BennyWenda @VeronicaKoman @haris_azhar… https://t.co/xknKJz3axt;Lawan30188010;pos
"RKUHP itu ga ada salahnya
RUU KPK ga melemahkan KPK
RUU PKS disahkan untungnya apa?
Demo mahasiswa cuma buang-buang… https://t.co/njD8b48od7";hazxrth;pos
RT @Lawan30188010: Isu Rasisme  di Galangan Masyarakat  sipil Kaum Penindas Masih terus  Melakukan perlawanan  terhdp t4 tggl Mhsw Papua di…;jeromesiempre83;pos
Isu Rasisme  di Galangan Masyarakat  sipil Kaum Penindas Masih terus  Melakukan perlawanan  terhdp t4 tggl Mhsw Pap… https://t.co/hvs9J22WoO;Lawan30188010;pos
RT @countryRW: Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propaganda dan @Ve…;IdKanal;neg
Bakalan dua periode, dalam 5 tahun kedepan ketika kita bicara isu papua. Kita di bilang separatis. ketika kita bica… https://t.co/WOVlGTtPAC;David07111090;pos
"Mainan mu kagak laku kadrun...
#PestaRa?kyatN?KRI
Indonesia Terpilih Menjadi Dewan HAM PBB Di Tengah Panasnya Isu P… https://t.co/KEjcE2kDim";WSumpiuh;neg
"RT @nar_dwi: Akhirnya PBB memutuskan bahwa papua tetap dalam kedaulatan negara Republik Indonesia.. 
Dan menolak semua usulan referendum pa…";1000_NALAR;pos
@BennyWenda @UN @OHCHRAsia @UN4Indigenous @UN_SPExperts @cvoule @UN_PGA @UNDPinPNG @UN_HRC @OsloFF @DubesInggris… https://t.co/K7SYmqjcXW;jonatha03698321;pos
"bahas isu pelantikan dari A-Z
bahas isu polemik ruu bermasalah dari A-Z
bahas isu papua dari A-Z
bahas masak nyonto… https://t.co/oSKESe7W88";cakalangserut;pos
RT @countryRW: Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propaganda dan @Ve…;bagaspatifor;neg
Mereka sudah mencetak buku yg bermuatan propaganda soal isu Papua,Sekarang bukunya sedang di jual dan di promosikan… https://t.co/RsoUlQx5cs;FeriKur30046347;neg
Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propagand… https://t.co/DMcGymsBxB;countryRW;neg
Gubernur Papua menyatakan masyarakat yang berada di daerahnya sangat cinta NKRI. Keinginan merdeka hanya isu provok… https://t.co/cdhAY68mwM;BuremVan;pos
RT @fmtoday: Isu keselamatan jadi fokus berikutan kejadian rusuhan dan tunjuk perasaan, isu etnik di Papua dan Kalimatan, pindaan RUU jenay…;TokDaddy69;neg
Isu keselamatan jadi fokus berikutan kejadian rusuhan dan tunjuk perasaan, isu etnik di Papua dan Kalimatan, pindaa… https://t.co/HoS1wOiawO;fmtoday;neg
Sama halnya dgn tuduhan mas yg bilang saya minim literasi, terlepas mas paham apa arti literasi atau ngga. Ini jg s… https://t.co/uNX5xMAlIP;amflife;pos
@omarnatakusuma 1. Di papua kan emang lagi rusuh. Semua isu bisa keikut. 98 isu nya bukan rasisme, kenapa cina yang… https://t.co/64SzicHUkg;rehuellahangela;neg
"RT @CantikKunti: Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";Ungke64473955;pos
Indonesia Terpilih Menjadi Dewan HAM PBB Di Tengah Panasnya Isu Papua https://t.co/ycXRFFInJv https://t.co/NB5n3YgWqp;5News_Pati;pos
#VeronikaKoman didampingi oleh LSM Amnesty International Australia, menemui Sub Komite HAM Parlemen Australia memin… https://t.co/xfAKP0RQ94;papuakicau;pos
"RT @CantikKunti: Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";YEngran;pos
"Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";CantikKunti;pos
"@PartaiSocmed 5 karhutla kalimantan dan sumatra
6 militerisasi isu papua
7 brutalitas aparat";Adamsiapa;pos
"RT @Dzawinur: Di Jakarta rusuh RUU, di Papua rusuh isu rasial, Kalimantan dan Sumatra darurat asap.

Cepat sembuh ibu pertiwi dan bapak pre…";02Hwng;neg
Nama Dandhy Laksono belakangan viral setelah rentetan aksi demonstrasi #ReformasiDikorupsi oleh mahasiswa. Dandhy s… https://t.co/g7CUdsUjyE;kinibisa;neg
"RT @MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";yeftanew27;neg
"Vanuatu Angkat Isu Papua di PBB untuk Bela Separatis. 
#WelcomePeriodeKedua https://t.co/nuOLgFnZAO";AnandaFaturrah2;neg
"RT @Dzawinur: Di Jakarta rusuh RUU, di Papua rusuh isu rasial, Kalimantan dan Sumatra darurat asap.

Cepat sembuh ibu pertiwi dan bapak pre…";evaniallxx;neg
Ini Negara dimana letaknya, kok Charlot Salawai. Kayak kaum SALAWI nama dia. https://t.co/hf7MNMMfHG;MustaanAli4;neg
@03_nakula Zaman bulan bulan ini : isu yang dinaikin pemerintah seputar radikalisme, tapi isu seperti di papua ditu… https://t.co/g1ULc88SoW;inituiterane;neg
RT @VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…;v14nzone;pos
Yang ngerti isu HAM dan global. Apalagi Indonesia sdg dilihat masyarakat dunia soal Papua, dan terpilih jd Dewan HA… https://t.co/Doe6I1kacl;erwinnatosmal;pos
RT @VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…;mudjib_trisatya;pos
"RT @dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";aldyraamv;neg
@amflife Si ario itu spt anak mami yg cuma tau dr tv n sdikit diskusi trus sok2an tau sgalax soal kasus papua....… https://t.co/h3925HA9s2;burhan_chors;neg
"RT @dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";O2O598;neg
RT @ramaindirawan: Dari semua isu yang berlangsung seperti kebakaran hutan, kekerasan mahasiswa dan jurnalis, serta korban jiwa dan konflik…;indiego007;neg
Indonesia Terpilih Jadi Dewan HAM PBB di Tengah Panasnya Isu Papua https://t.co/qSRKwVo2uI;BNewsCoID;pos
Sia sia sudah usaha @VeronicaKoman jualan isu HAM di PAPUA. https://t.co/BNU68o1rN1;HanafiRonny;pos
Veronica Koman Ngadu Soal Isu Papua ke Parlemen Australia https://t.co/NeyQ3ryJLo;merdekadotcom;pos
RT @CNNIndonesia: Lompatan Besar RI di Dewan HAM PBB di Tengah Panas Isu Papua https://t.co/hb7nVuuRcj;Ahmad18335950;pos
Veronica Koman Mengadu Soal Isu Papua kepada Parlemen Australia https://t.co/k5aFYQx20q https://t.co/zybiIobX8Y;BeritaTerkiniDM;pos
@tubirfess isu papua yang belum terpecahkan;gilangdhn;pos
Lompatan Besar RI di Dewan HAM PBB di Tengah Panas Isu Papua https://t.co/hb7nVuuRcj;CNNIndonesia;neg
RT @VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…;PJulianiee;pos
"[KERUSAHAN WAMENA]
. 
Pada akhir-akhir ini telah terjadi kerusahan di Kota Wamena, Papua. Latar belakang dari kejad… https://t.co/tUShElkdtI";Forkompi;neg
"RT @dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";lilbrontosaurus;neg
Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak… https://t.co/OzIuC9BNAa;VIVAcoid;pos
Perempuan yg satu ini @VeronicaKoman tidak senang kalau papua damai, hanya cari keuntungan untk kantong pribadi dan… https://t.co/ANb7vsny71;PapuaRegion;pos
RT @lokataru_id: Kasus kebebasan akademik yang menyerang LPM @TeropongPENS memenuhi pola isu yang juga marak dialami oleh organ masy sipil…;Bi_ma_bima;pos
Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak… https://t.co/WH4fyf1VgJ;VIVAcoid;neg
"@miskiy28 Saya nggak maksud membantah. 
Maksud saya, saat kemarin isu Papua panas, banyak oknum yang memanasin kalo… https://t.co/sNpM5BhSjX";NDupuma;pos
@miskiy28 Tapi, mbak. Banyak yang mengkritisi perihal kebijakan Indonesia di luar negeri. Karena di satu sisi, kita… https://t.co/XKpRFSFqmf;NDupuma;pos
"Ada konflik agraria &amp; konflik di Papua -&gt; Naikin isu nasional (KUHP, KPK, PKS, dll) -&gt; Isu agraria &amp; konflik Papua… https://t.co/5hk9Hj6rRx";vbrstrdi;neg
"RT @MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";Suwardi90538983;neg
"RT @RobocopMoslem: @mpujayaprema Mudah ditebak.

Isu papua, hilang.
Muncul isu ruu kpk, rkuhp, hilang lg.
Muncul isu perppu, diselingi arte…";desised_;pos
@WagimanDeep @Alfredo_Kaway Ribuan mahasiswa Papua kembali ke Papua, akibat isu diskriminasi dan rasisme.;Nong97037373;neg
"RT @dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";wordsrror;neg
"Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, d… https://t.co/jx1DjICrfD";dibyos1;neg
Iya, tetapi kamu yakin banget begini kan? Yaa, sama saja lah kamu menyalahkan SJW yg berbicara isu Papua sebagai bi… https://t.co/xal9UWzQ5L;uyaboira;pos
"RT @yogiprabhawa: @fullmoonfolks Malam ini dan malam2 seterusnya. Kita siap2 dengan ulasan TV:
1. Radikalisme
2. ISIS
3. Kerja Inteligen.
4…";mr_gobeh;pos
RT @ebongBOY: @KanjengRaden_ @aduankonten 1.750 akun penyebar hoaks terkait isu papua ada yang berasal dari luar negeri #SatuHatiUntukNKRI…;ogie_hernoko;neg
"RT @zidanedjunior: Dari ini kita belajar, bahwa politik itu tidak ada lawan sejati yang ada kepentingan abadi.

*Isu Papua.
*Gempa Ambon.
*…";kkkkkkk007768;neg
RT @wesstafari: @AngrySipelebegu @Dandhy_Laksono Bukti tambahan: outsource bayaran buat nutup nutupin isu Papua;Andy_Wijaya_90;neg
RT @kumparan: Sempat merebak kabar bahwa PBB mendukung Papua untuk merdeka dari Indonesia. @Menlu_RI menegaskan bahwa isu tersebut ialah ho…;purirohermawan;neg
