;text;label;alasan_kata;name
28;Hikmahanto Juwana: Isu Diskriminatif Papua Dinilai Tidak Mendasar https://t.co/4A36xGRLkO;neg;diskriminatif;batas_negeri
29;""" @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…";neg;hoax, konflik;AgusRoufLathief
30;"[VIDEO] Kominfo Polisikan ""Buzzer"" Hoaks Isu Papua Barat https://t.co/1I9hAsgHVJ https://t.co/UPVClvYXYZ";neg;hoaks;KompasTV
31;: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…;neg;maling;MuciSijl
32; Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…;neg;aneh;afredoazza
33;: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…;neg;maling;Kurnia55623750
34;KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…;pos;tidak mengaitkan;mindar69
35;"Mahasiswa Papua jangan termakan Isu Eksodus yaaa :)
.
#Dagelan
#MutualanAjaDuluSiapaTauJodoh
#IndonesiaDamai… https://t.co/NLsjSgC1MU";pos;jangan termakan;dagelanpolitik1
36;""" @bintangku206: biasanya yang menebar isu ini kelompok maling uang rakyat! Kapolda: Yang Bilang Ada Kelompok Jihad di Papua di Hoax https…";neg;hoax;Orchid30327847
37;""" @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…";pos;abal-abal;FhadillahLaxa
38;""" @TRANS7: ""Coba tanya ke orang-orang Papua apakah perlu itu pembangunan Trans Papua. Pembangunan harus memikirkan manusia. Isu separatism…";pos;pembangunan;HunduickelmonY2
39;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;magnussmall1
40;"Papua bkn konflik agama tong? Mau digoreng ke isu agama? Kau pikir cm umat muslim saja yg jd korban? 

#Yihaaa";neg;isu;AlfaOmega0110
41;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;cristop14107212
42;"Vanuatu Politisasi Isu Papua; Ini Tanggapan Indonesia! – Duration: 2:37.  https://t.co/R0xwl7l0Ki";pos;tanggapan;OccuWorld
43;""" @mmuzaqi_: Persekutuan Gereja-gereja di Tanah Papua : Masyarakat Papua Jangan Termakan Isu yg Membuat Konflik.

-utas-

@elHurryKoRn @wa…";pos;jangan termakan;JihadMilenial
44;""" @bernardagapa: Desain poster ini dari font; warna; hingga narasi sama persis dengan poster yang serang beberapa LBH; KPK dan isu Papua.…";neg;serang;fadlanous
45;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;dossprho
46;""" @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…";neg;abal-abal;Khoirulsetiaku
47;""" @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…";pos;aneh;indraephe
48;""" @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…";pos;mengharamkan;djopie_76
49;Selalu waspada terhadap isu SARA dan hoax. Jangan sampai kita di adu domba oleh oknum-oknum yang menginginkan papua… https://t.co/0cq4t87PTG;pos;waspadai;AjiFatahKurnia1
50;""" @VICE_ID: Perusahaan dari Indonesia bernama InsightID disebut mengkoordinir penyebaran isu pro-kemerdekaan oleh akun abal-abal tersebut.…";neg;abal-abal;fendisyarif
51;""" @bernardagapa: Desain poster ini dari font; warna; hingga narasi sama persis dengan poster yang serang beberapa LBH; KPK dan isu Papua.…";neg;serang;eydhoh
52;""" @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…";pos;mengharamkan;UdinLisan
53;""" @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…";neg;aneh;Rio_Kemilau
54;""" @notbuzzer: 1. Isu Diskriminatif; Rasisme dan HAM di Papua Tak Sesuai Fakta #HoaksIsuDiskrimantifdiPapua";neg;rasisme;notbuzzer
55;""" @LamanKita_: PBB Tak Pernah Merespon Isu Diskriminatif yang Hanya Ingin Memecah Belah Papua #HoaksIsuDiskrimantifdiPapua https://t.co/0C…";neg;memecah;notbuzzer
56;PBB Tak Pernah Merespon Isu Diskriminatif yang Hanya Ingin Memecah Belah Papua #HoaksIsuDiskrimantifdiPapua https://t.co/0CnABgtycc;pos;merespon;LamanKita_
57;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;ronaldwolford11
58;""" @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…";neg;aneh;hungrybase_
59;Isu Diskriminatif di Papua Tak Berdasar #HoaksIsuDiskrimantifdiPapua https://t.co/EGZzgJZdM8;neg;diskriminatif;notbuzzer
60;"Isu Diskriminatif; Rasisme dan HAM dari Separatis di Papua Tak Pernah Mendapat Respon dari PBB… https://t.co/8bAKUOWZld";neg;diskriminatif;notbuzzer
61;"2. Beberapa isu yang dimainkan oleh kelompok separatis yang didukung pihak asing sepe""i isu diskriminatif, rasisme, dan Hak Asasi Manusia (HAM)di Papua hasilnya selalu mentah.  #HoaksIsuDiskrimantifdiPapua";neg;dimainkan;notbuzzer
62;"1. Isu Diskriminatif; Rasisme dan HAM di Papua Tak Sesuai Fakta #HoaksIsuDiskrimantifdiPapua";pos;tak sesuai fakta;notbuzzer
63;Tuduhan diskriminatif sehingga perlu ada pemerintahan alternatif di Papua, sama sekali tidak mendasar #HoaksIsuDiskriminatifdiPapua https://nalarpolitik.home.blog/2019/10/07/hoax-isu-diskriminasi-dan-pelanggaran-ham-di-papua-sungguh-tak-berdasar/;pos;tidak mendasar;Bincang_Politik
64;Isu diskriminatif, rasisme, dan pelanggaran Hak Asasi Manusia (HAM) yang disuarakan Organisasi Papua Merdeka (OPM) saat ada permasalahan di Papua sama sekali tidak berdasar #HoaksIsuDiskriminatifdiPapua https://nalarpolitik.home.blog/2019/10/07/hoax-isu-diskriminasi-dan-pelanggaran-ham-di-papua-sungguh-tak-berdasar/;neg;pelanggaran;NamaSayaBram
65;"Hoax; Isu Diskriminasi dan Pelanggaran HAM di Papua Sungguh Tak Berdasar #HoaksIsuDiskriminatifdiPapua… https://t.co/KqjaMbVoV2";pos;tak berdasar;kumaha_aing01
66;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;BAndersoncx
67;""" @robikinemhas: Pantas Islam mengharamkan hoax. konflik dan nyawa melayang bisa terjadi akibat itu. Kerusuhan Papua Barat diantaranya. FB…";pos;konflik;husnieamir
68;""" @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…";neg;aneh;sapajr_
69;Pihaknya juga mengimbau kepada masyarakat di tanah Papua , untuk tidak terpengaruh dengan isu yang belum tentu benar, bahkan terindikasi membuat konflik dimana-mana.;pos;tidak terpengaruh;Zalfa_Qotr
70;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;catheri98904892
71;@BoehariM @adyttt_punk @AmbarwatiRexy @Airin_NZ @P3nj3l4j4h @dodo_ferguson @jokowi @Kiyai_MarufAmin @Bers4tu… https://t.co/2FKvPwu3sF;pos;bersatu;Farida_R4
72;"Isu diskriminasi terhadap Papua adalah Hoaks! 

#HoaksIsuDiskriminatifDipapua https://t.co/bGaiSwvcFD";pos;isu;raza_aja
73;""" @YRadianto: Ada uang di balik semua kerusuhan.

Kawan; mari kita jaga Indonesia kita. Jangan biarkan orang baik dikalahkan mereka yang p…";neg;kerusuhan;dsurya_maulana
74;""" @john_lsmw: @Putri_1979 Jika baca langsung rilis dari news room yang menjadi narasumber dr berita ini; maka yg disebutkan di sana adl ba…";pos;narasumber;RamadhanNasta
75;"""Masyarakat Papua jangan termakan Isu yang Membuat Konflik""
Himbauan dari Pdt. Ma""han Ayorbaba Wakil Sekretaris Pe… https://t.co/5pK99ayMX5";pos;jangan termakan;DekZulfi
76;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;TruongA83282261
77;"Awas provokasi OPM soal isu diskriminasi terhadap Papua 

#HoaksIsuDiskriminatifDipapua https://t.co/mfU5WK1wLd";neg;provokasi;abdul_juga
78;""" @Jokoembong: 1. Hal ini disampaikan Ketua Wilayah @Wa""aNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";pos;disampaikan;DarmawanNuryudi
79;"Hoaks! Isu diskriminasi terhadap Papua 

#HoaksIsuDiskriminatifDipapua https://t.co/Z8jwjsWhts";pos;hoax;RenjaniAyu
80;""" @ArnoldBelau: Guru besar saja trabisa bedakan mana OPM dan mana rakyat sipil yg berjuang tuh aneh. Bilang pelanggaran HAM tra berdasar t…";neg;aneh;arifinhasan_
81;"OPM mau mengadu-domba dgn Isu diskriminasi trhdp Papua! 

#HoaksIsuDiskriminatifDipapua https://t.co/S8gEMZxDc2";neg;mengadu domba;Sitichaa9
82;""" @Jokoembong: 1. Hal ini disampaikan Ketua Wilayah @Wa""aNU @ProvPapua; Tony Wanggai bersama jajarannya di Kantor PWNU Provinsi Papua di…";pos;disampaikan;Bejo__wiyono
83;""" @fr_disa: KH. Saiful Islam Al Fayage (Ketua MUI Papua) meminta semua pihak tidak mengaitkan kerusuhan yang terjadi di Wamena dengan isu…";pos;tidak mengaitkan;RoninX34
84;@xbgsprksx @sandalista1789 @Dandhy_Laksono Algoritma fb membaca interaksi akun2 fake yg  mendompleng trending isu p… https://t.co/bfbzrTvd6B;pos;membaca;Januri97050930
85;"Sedikit demi sedikit isu Papua semakin mendunia; syukur bagimu Tuhan... https://t.co/NfclqJ8A4R";pos;mendunia;beanal_jong
86;"cek yuk -&gt; Komnas HAM Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi Komnas HAM m  https://t.co/mhB9k8rlcX";neg;singgung;akuNgiklan
87;?@KomnasHAM? Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi https://t.co/bL6P4fuh1L;neg;singgung;ibnupurna
88;@null Komnas HAM Singgung Isu Papua Tak Diangkat di Pidato Perdana Jokowi Komnas HAM m  https://t.co/gAR8Ek09NZ;neg;singgung;galxxs
89;"""@KontraS: Kami coba merangkum sekelumit respon pejabat publik atas peristiwa yang terjadi belakangan ini, mulai dari isu KPK, Papua, sam…";pos;merangkum;Gusliansyahjef
90;Ada referensi bahwa mereka minta barang ini sebelum kasus rasisme? Karena isu Papua youth center itu baru terdengar pasca mereka ketemu presiden.;neg; rasisme;erickyoku
91;"""@MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";neg;oknum;ilan_nulhakim
92;"""@Lawan30188010: Isu Rasisme  di Galangan Masyarakat  sipil Kaum Penindas Masih terus  Melakukan perlawanan  terhdp t4 tggl Mhsw Papua di…";pos;perlawanan;Junior97762295
93;"Pdhl di pidato pertama ini lebih nunggu tanggapan pak jokowi mengenai isu"" yg saat ini viral kyk Papua, UU KPK,  RKUHP, radikalisme dan terorisme... Walaupun bakal bikin pro-kontra (lagi) at least dia sebaiknya kasih tanggapan.";pos;tanggapan;Gab_412
94;"""@countryRW: Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propaganda dan @Ve…";pos;terbukti;IdKanal
95;"Bakalan dua periode, dalam 5 tahun kedepan ketika kita bicara isu papua. Kita di bilang separatis. ketika kita bicara isu kemanusiaan masyarakat adat kita akan di cap sbg anti pembangunan. Ketika kita bicara lingkungan disebut anti asing. 
#MatikanTVSeharian #PresidenAlamGaib";pos;kemanusiaan;David07111090
96;"Mainan mu kagak laku kadrun...
#PestaRa?kyatN?KRI
Indonesia Terpilih Menjadi Dewan HAM PBB Di Tengah Panasnya Isu P… https://t.co/KEjcE2kDim";neg;kadrun;WSumpiuh
97;"""@nar_dwi: Akhirnya PBB memutuskan bahwa papua tetap dalam kedaulatan negara Republik Indonesia.. 
Dan menolak semua usulan referendum pa…";pos;kedaulatan;1000_NALAR
98;ini si penjual.papua demi kesenangannya hidup dr penjual isu;neg;isu;jonatha03698321
99;"bahas isu pelantikan dari A-Z
bahas isu polemik ruu bermasalah dari A-Z
bahas isu papua dari A-Z
bahas masak nyonto… https://t.co/oSKESe7W88";pos;bahas;cakalangserut
100;"""@countryRW: Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propaganda dan @Ve…";neg;propaganda;bagaspatifor
101;Mereka sudah mencetak buku yg bermuatan propaganda soal isu Papua,Sekarang bukunya sedang di jual dan di promosikan pak;neg;propaganda;FeriKur30046347
102;"Semakin terlihat dan terbukti bahwa pembuat isu Papua terhadap Indonesia sebagai pelanggaran HAM hanyalah propaganda dan 
@VeronicaKoman
 salah satunya";neg;propaganda;countryRW
103;"Gubernur Papua menyatakan masyarakat yang berada di daerahnya sangat cinta NKRI. Keinginan merdeka hanya isu provokasi yang dihembuskan oleh KKB/OPM untuk mengacaukan suasana.

#PapuaAdalahIndonesia #PestaRakyatNKRI";pos;cinta;BuremVan
104;"""@fmtoday: Isu keselamatan jadi fokus berikutan kejadian rusuhan dan tunjuk perasaan, isu etnik di Papua dan Kalimatan, pindaan RUU jenay…";pos;keselamatan;TokDaddy69
105;Isu keselamatan jadi fokus berikutan kejadian rusuhan dan tunjuk perasaan, isu etnik di Papua dan Kalimatan, pindaan RUU jenayah dan rasuah, serta kejadian seorang menteri ditikam. #FMTNews #Jokowi;pos;keselamatan;fmtoday
106;Sama halnya dgn tuduhan mas yg bilang saya minim literasi, terlepas mas paham apa arti literasi atau ngga. Ini jg sama2 ad hominem. Selain itu, pertanyaan mas soal isu papua tsb jg red herring, karena konteks debatnya bukan disana. Tapi saya paham karena mas nimbrung ditengah2.;pos;tuduhan;amflife
107;"1. Di papua kan emang lagi rusuh. Semua isu bisa keikut. 98 isu nya bukan rasisme, kenapa cina yang diserang? 

2. Oh ya? KTP doang kali yg kristen? Atau karena mereka ga bisa baca tulisan yg di bendera tauhid?

3. Radikalisme bukan perorangan dan sy udah kasih contoh radikalisme";neg;rusuh;rehuellahangela
108;"""@CantikKunti: Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";pos;tidak terpancing;Ungke64473955
109;Indonesia Terpilih Menjadi Dewan HAM PBB Di Tengah Panasnya Isu Papua https://t.co/ycXRFFInJv https://t.co/NB5n3YgWqp;pos;terpilih;5News_Pati
110;#VeronikaKoman didampingi oleh LSM Amnesty International Australia, menemui Sub Komite HAM Parlemen Australia meminta Pemerintah Australia menghentikan kekerasan di #Papua.;pos;meminta;papuakicau
111;"""@CantikKunti: Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";pos;tidak terpancing;YEngran
112;"Bangun Papua dengan tdk terpancing isu eksodus..
#PestaRakyatNKRI 
#PestaRakyatNKRI https://t.co/IQ7Xn8Nnv1";pos;tidak terpancing;CantikKunti
113;"@PartaiSocmed 5 karhutla kalimantan dan sumatra
6 militerisasi isu papua
7 brutalitas aparat";neg;brutal;Adamsiapa
114;"""@Dzawinur: Di Jakarta rusuh RUU, di Papua rusuh isu rasial, Kalimantan dan Sumatra darurat asap.

Cepat sembuh ibu pertiwi dan bapak pre…";neg;rusuh;02Hwng
115;Nama Dandhy Laksono belakangan viral setelah rentetan aksi demonstrasi #ReformasiDikorupsi oleh mahasiswa. Dandhy sempat ditangkap polisi terkait cuitannya di media sosial mengenai isu Papua. Siapakah sosok Dandhy Dwi Laksono sesungguhnya?;neg;aksi;kinibisa
116;"""@MerryRiana: Hari begini masih ada saja oknum2 yg tdk bertanggung jawab yg memotong video saya &amp; menempelnya dgn isu papua saat ini ðŸ˜žð";neg;tidak bertanggung jawab;yeftanew27
117;"Vanuatu Angkat Isu Papua di PBB untuk Bela Separatis. 
#WelcomePeriodeKedua https://t.co/nuOLgFnZAO";neg;angkat isu;AnandaFaturrah2
118;"""@Dzawinur: Di Jakarta rusuh RUU, di Papua rusuh isu rasial, Kalimantan dan Sumatra darurat asap.

Cepat sembuh ibu pertiwi dan bapak pre…";neg;rusuh;evaniallxx
119;Ini Negara dimana letaknya, kok Charlot Salawai. Kayak kaum SALAWI nama dia. https://t.co/hf7MNMMfHG;neg;kaum;MustaanAli4
120;"Zaman bulan bulan ini : isu yang dinaikin pemerintah seputar radikalisme, tapi isu seperti di papua ditutup rapat

Zaman bulan ini : sepertinya framing pemerintah berjalan, kasus 5 orang terbunuh entah diusut atau tidak, malah isu pelantikan yang naik";neg;radikalisme;inituiterane
121;"""@VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…";pos;meminta;v14nzone
122;Yang ngerti isu HAM dan global. Apalagi Indonesia sdg dilihat masyarakat dunia soal Papua, dan terpilih jd Dewan HAM PBB. :));pos;terpilih;erwinnatosmal
123;"""@VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…";pos;membantu;mudjib_trisatya
124;"""@dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";neg;sakit;aldyraamv
125;"Si ario itu spt anak mami yg cuma tau dr tv n sdikit diskusi trus sok2an tau sgalax soal kasus papua....

smenjak kasus d surabaya kmudian berkembang d socmed itu yg mngompori para sjw dng isu n postingan usang dr klompok separatis....";neg;kasus;burhan_chors
126;"""@dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";neg;sakit;O2O598
127;"""@ramaindirawan: Dari semua isu yang berlangsung seperti kebakaran hutan, kekerasan mahasiswa dan jurnalis, serta korban jiwa dan konflik…";neg;kekerasan;indiego007
128;Indonesia Terpilih Jadi Dewan HAM PBB di Tengah Panasnya Isu Papua https://t.co/qSRKwVo2uI;pos;terpilih;BNewsCoID
129;Sia sia sudah usaha @VeronicaKoman jualan isu HAM di PAPUA. https://t.co/BNU68o1rN1;pos;usaha;HanafiRonny
130;Veronica Koman Ngadu Soal Isu Papua ke Parlemen Australia https://t.co/NeyQ3ryJLo;pos;ngadu;merdekadotcom
131;"""@CNNIndonesia: Lompatan Besar RI di Dewan HAM PBB di Tengah Panas Isu Papua https://t.co/hb7nVuuRcj";pos;lompatan;Ahmad18335950
132;Veronica Koman Mengadu Soal Isu Papua kepada Parlemen Australia https://t.co/k5aFYQx20q https://t.co/zybiIobX8Y;pos;ngadu;BeritaTerkiniDM
133;@tubirfess isu papua yang belum terpecahkan;pos;terpecahkan;gilangdhn
134;Lompatan Besar RI di Dewan HAM PBB di Tengah Panas Isu Papua https://t.co/hb7nVuuRcj;neg;ngadu;CNNIndonesia
135;"""@VIVAcoid: Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan…";pos;ngadu;PJulianiee
136;"[KERUSAHAN WAMENA]
. 
Pada akhir-akhir ini telah terjadi kerusahan di Kota Wamena, Papua. Latar belakang dari kejad… https://t.co/tUShElkdtI";neg;kerusuhan;Forkompi
137;"""@dibyos1: Ah urip, negaraku sakit, ruu ini itu, papua, kpk, dpr, polisi, aksi mahasiswa, isu ham, konspirasi orba.
Ah urip, duniaku saki…";neg;sakit;lilbrontosaurus
138;Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan yang terjadi di Papua. Australia dinilai bisa menekan Indonesia dalam isu ini tanpa melecehkan kedaulatan RI.;pos;ngadu;VIVAcoid
139;"Perempuan yg satu ini 
@VeronicaKoman
 tidak senang kalau papua damai, hanya cari keuntungan untk kantong pribadi dan kelompoknya  dg menjual isu HAM..Ayo Tangkap
cc: 
@PolhukamRI
 
@DivHumas_Polri
 
@INTERPOL_HQ
 

#WelcomePeriodeKedua 
#WelcomePeriodeKedua";pos;menjual isu;PapuaRegion
140;"""@lokataru_id: Kasus kebebasan akademik yang menyerang LPM @TeropongPENS memenuhi pola isu yang juga marak dialami oleh organ masy sipil…";neg;menyerang;Bi_ma_bima
141;"Aktivis HAM Veronica Koman mengadu ke Parlemen Australia, meminta mereka untuk membantu menghentikan segala tindak kekerasan yang terjadi di Papua. Australia dinilai bisa menekan Indonesia dalam isu ini tanpa melecehkan kedaulatan RI.

Selengkapnya di, https://viva.co.id/berita/dunia/1184170-veronica-koman-ngadu-ke-parlemen-australia-minta-setop-kasus-di-papua";pos;ngadu;VIVAcoid
142;"@miskiy28 Saya nggak maksud membantah. 
Maksud saya, saat kemarin isu Papua panas, banyak oknum yang memanasin kalo… https://t.co/sNpM5BhSjX";neg;memanasin;NDupuma
143;@miskiy28 Tapi, mbak. Banyak yang mengkritisi perihal kebijakan Indonesia di luar negeri. Karena di satu sisi, kita… https://t.co/XKpRFSFqmf;pos;kebijakan;NDupuma
